                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.71372,                 1.0789,                0.59307,                0.90419,                0.95744,                0.73469,                 0.8051,                0.63384,                0.95744,                0.73469,                 0.8051,                0.62654,                0.92542,                 1.5963,                  1.101,                0.95671,              0.0018654,              0.0018654,              0.0018654
                     37,                0.77002,                   1.07,                0.60397,                0.91859,                0.99288,                0.67347,                0.77357,                0.62607,                0.99288,                0.67347,                0.77357,                0.61375,                0.95254,                  1.621,                 1.2535,                 1.0004,              0.0018614,              0.0018614,              0.0018614
                     38,                0.73579,                 1.0601,                0.59054,                0.91235,                0.99693,                 0.7551,                0.84405,                0.67485,                0.99693,                 0.7551,                0.84405,                0.66554,                0.88374,                 1.5858,                0.93364,                0.95877,              0.0018574,              0.0018574,              0.0018574
                     39,                 0.7201,                 1.0792,                0.57738,                0.92773,                 0.9439,                0.83673,                0.88361,                0.71772,                 0.9439,                0.83673,                0.88361,                0.69553,                0.90494,                 1.6039,                0.76391,                 0.9119,              0.0018535,              0.0018535,              0.0018535
                     40,                0.66898,                 1.0995,                0.55689,                0.90023,                0.97546,                0.81131,                0.86567,                0.68619,                0.97546,                0.81131,                0.86567,                0.65645,                0.89225,                 1.8147,                0.88818,                0.91798,              0.0018495,              0.0018495,              0.0018495
                     41,                0.68356,                 1.0225,                0.57574,                0.89652,                0.95855,                0.81633,                 0.8617,                0.68378,                0.95855,                0.81633,                 0.8617,                0.67041,                0.94042,                 1.5235,                0.88426,                0.94963,              0.0018456,              0.0018456,              0.0018456
                     42,                0.70915,                0.95984,                0.59769,                0.87618,                 0.9513,                0.85714,                0.85979,                0.69285,                 0.9513,                0.85714,                0.85917,                0.67319,                0.94831,                 1.6146,                0.82352,                0.93549,              0.0018416,              0.0018416,              0.0018416
                     43,                0.71665,                 1.0378,                0.61052,                0.91615,                0.98674,                0.79592,                0.87366,                 0.6798,                0.98674,                0.79592,                0.87366,                0.69928,                0.97017,                 1.4874,                0.83004,                0.95859,              0.0018376,              0.0018376,              0.0018376
                     44,                0.73115,                 1.0909,                0.58684,                0.89472,                      1,                0.77402,                0.84286,                0.67324,                      1,                0.77402,                0.84286,                0.66284,                 0.8796,                 1.3819,                0.92029,                0.93277,              0.0018337,              0.0018337,              0.0018337
                     45,                 0.7635,                 1.0603,                0.59447,                0.91255,                 0.9219,                0.79592,                0.83131,                0.65695,                 0.9219,                0.79592,                0.83017,                0.66115,                0.94393,                 1.6647,                0.94489,                0.94349,              0.0018297,              0.0018297,              0.0018297
                     46,                0.71413,                 1.0369,                0.55482,                0.89253,                0.94091,                0.79592,                0.86692,                0.67094,                0.94091,                0.79592,                 0.8571,                 0.6569,                0.90857,                 1.6326,                  0.818,                0.93067,              0.0018258,              0.0018258,              0.0018258
                     47,                0.72497,                 1.0349,                0.55013,                0.89768,                0.97301,                0.77551,                0.86515,                0.69824,                0.97301,                0.77551,                0.85404,                0.66025,                0.92966,                 1.9545,                0.92459,                0.96024,              0.0018218,              0.0018218,              0.0018218
                     48,                0.67765,                 1.0026,                0.53722,                0.89239,                0.97549,                0.81234,                0.83857,                0.68898,                0.97549,                0.81234,                0.83857,                  0.654,                0.84583,                 1.8041,                0.89924,                0.91948,              0.0018178,              0.0018178,              0.0018178
                     49,                0.68955,                 1.0089,                0.53619,                0.89485,                 0.9318,                0.83646,                0.85699,                0.71669,                 0.9318,                0.83646,                0.85699,                0.66069,                 0.8212,                 1.5923,                 0.8292,                0.91353,              0.0018139,              0.0018139,              0.0018139
                     50,                0.67186,                 1.0642,                0.52917,                0.90502,                0.99297,                0.77551,                0.85638,                0.68953,                0.99297,                0.77551,                0.85638,                0.67654,                0.91838,                 1.5323,                0.82677,                0.92177,              0.0018099,              0.0018099,              0.0018099
                     51,                 0.6984,                 1.0298,                0.56292,                0.89843,                0.97616,                0.83562,                0.85259,                  0.679,                0.97616,                0.83562,                0.85259,                0.66182,                0.97382,                 1.6251,                0.90754,                0.95689,               0.001806,               0.001806,               0.001806
                     52,                0.71268,                  1.028,                0.56024,                0.89482,                0.95206,                0.81065,                0.83797,                0.65114,                0.95206,                0.81065,                0.83797,                0.62421,                 1.0033,                 1.8063,                 1.1201,                 0.9713,               0.001802,               0.001802,               0.001802
                     53,                0.69145,                 1.0014,                0.54065,                 0.8807,                0.99737,                0.69388,                 0.8098,                0.64938,                0.99737,                0.69388,                 0.8098,                0.61121,                 1.0324,                 1.7192,                 1.2846,                 1.0068,               0.001798,               0.001798,               0.001798
                     54,                 0.6969,                0.95135,                0.54927,                0.89173,                0.92994,                0.81267,                0.84138,                0.66413,                0.92994,                0.81267,                0.84138,                0.63641,                0.96136,                  1.665,                 1.0666,                0.97453,              0.0017941,              0.0017941,              0.0017941
                     55,                0.71359,                 1.0375,                0.53166,                 0.9096,                0.95319,                0.83117,                0.85843,                0.67989,                0.95319,                0.83117,                0.85843,                0.65205,                0.90957,                 1.6298,                0.93743,                0.93747,              0.0017901,              0.0017901,              0.0017901
                     56,                0.70368,                0.96916,                0.51462,                0.89302,                0.97429,                0.77357,                0.84226,                0.67561,                0.97429,                0.77357,                0.84226,                0.65958,                0.93432,                 1.5307,                0.95968,                0.95574,              0.0017862,              0.0017862,              0.0017862
                     57,                0.66779,                0.91796,                 0.4961,                0.88166,                0.99401,                 0.7551,                0.82647,                0.67785,                0.99401,                 0.7551,                0.82385,                0.64435,                0.97105,                 1.6239,                 1.0123,                0.99782,              0.0017822,              0.0017822,              0.0017822
                     58,                0.69021,                0.98843,                0.50475,                0.89987,                0.99568,                0.77551,                0.84108,                0.67896,                0.99568,                0.77551,                0.83677,                0.64082,                0.98049,                 1.5554,                  1.057,                0.98567,              0.0017782,              0.0017782,              0.0017782
                     59,                0.69873,                0.96678,                0.55281,                0.90983,                0.99284,                0.77551,                0.85893,                0.68362,                0.99284,                0.77551,                0.85893,                0.65683,                0.95086,                 1.6845,                 1.0243,                0.96502,              0.0017743,              0.0017743,              0.0017743
                     60,                0.68294,                0.97841,                0.50005,                0.88763,                0.97171,                0.81633,                0.88857,                0.67469,                0.97171,                0.81633,                0.87646,                0.68031,                0.99785,                 1.6744,                0.78881,                0.96067,              0.0017703,              0.0017703,              0.0017703
                     61,                0.70043,                0.95065,                0.50478,                0.88814,                0.91234,                0.84975,                0.89357,                0.71728,                0.91234,                0.84975,                0.89357,                0.66919,                0.92852,                 1.7635,                0.77044,                0.95147,              0.0017664,              0.0017664,              0.0017664
                     62,                0.68328,                0.96131,                0.48626,                0.89975,                      1,                0.83629,                0.87816,                0.69605,                      1,                0.83629,                0.87816,                0.67668,                0.93474,                 1.6072,                0.97122,                0.97403,              0.0017624,              0.0017624,              0.0017624
                     63,                0.71238,                0.96461,                0.53609,                0.91049,                      1,                0.79546,                0.88274,                0.66955,                      1,                0.79546,                0.88274,                 0.6679,                 1.0301,                 1.7335,                  1.003,                  1.016,              0.0017584,              0.0017584,              0.0017584
                     64,                0.69973,                0.97491,                0.54623,                0.90175,                0.96807,                0.77551,                0.86679,                0.68649,                0.96807,                0.77551,                0.86583,                0.65593,                0.96393,                 1.5915,                0.94763,                0.97203,              0.0017545,              0.0017545,              0.0017545
                     65,                 0.6736,                 1.0406,                0.51048,                0.88787,                0.99327,                0.79592,                0.87947,                0.69329,                0.99327,                0.79592,                0.87947,                0.66667,                0.90923,                 1.6537,                0.90618,                0.96251,              0.0017505,              0.0017505,              0.0017505
                     66,                0.67965,                0.96996,                0.50674,                0.88684,                0.95493,                0.86494,                 0.9261,                0.73426,                0.95493,                0.86494,                 0.9261,                0.68159,                0.85521,                 1.5981,                0.75628,                0.92503,              0.0017466,              0.0017466,              0.0017466
