                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.50977,                0.77514,                0.36314,                0.83691,                0.99851,                0.90476,                0.93754,                0.76396,                0.99851,                0.90476,                0.93754,                0.73219,                0.77161,                 1.4077,                0.51399,                 0.8687,              0.0094159,              0.0094159,              0.0094159
                     62,                0.51949,                0.78874,                 0.3666,                0.84046,                0.98461,                0.87037,                0.92584,                0.76074,                0.98461,                0.87037,                0.92584,                0.72598,                0.77716,                 1.5107,                0.52731,                0.87538,               0.009406,               0.009406,               0.009406
                     63,                0.53316,                0.78276,                0.36912,                 0.8473,                0.96982,                0.89116,                0.93082,                0.75485,                0.96982,                0.89116,                0.92878,                0.72473,                0.80367,                 1.4125,                0.57874,                 0.8828,              0.0093961,              0.0093961,              0.0093961
                     64,                0.52178,                0.77057,                0.36036,                0.84666,                0.96725,                0.83673,                0.88666,                0.72799,                0.96725,                0.83673,                0.88666,                 0.6886,                0.77928,                   1.53,                 0.7378,                0.87622,              0.0093862,              0.0093862,              0.0093862
                     65,                0.51844,                0.78468,                0.35482,                0.83927,                0.97051,                0.89565,                0.94224,                0.77627,                0.97051,                0.89565,                0.94224,                 0.7518,                 0.7674,                 1.4551,                0.56471,                0.87335,              0.0093763,              0.0093763,              0.0093763
                     66,                0.51274,                0.75712,                 0.3556,                0.83988,                0.96339,                0.86395,                0.94195,                0.76565,                0.96339,                0.86395,                0.94195,                0.73894,                0.81532,                 1.4788,                 0.5882,                0.87931,              0.0093664,              0.0093664,              0.0093664
                     67,                0.52637,                0.73442,                0.35446,                0.84424,                0.96578,                0.89116,                0.93271,                0.75367,                0.96578,                0.89116,                0.93271,                0.71739,                 0.7884,                  1.466,                 0.6109,                0.87205,              0.0093565,              0.0093565,              0.0093565
                     68,                 0.5119,                0.75184,                0.35931,                0.83733,                0.98455,                0.86723,                0.92425,                0.74639,                0.98455,                0.86723,                0.92425,                0.72783,                0.81005,                 1.4797,                 0.6181,                0.89644,              0.0093466,              0.0093466,              0.0093466
                     69,                0.51233,                0.75046,                0.35145,                0.83684,                0.91195,                0.84548,                0.90934,                0.74481,                0.91195,                0.84548,                0.90934,                0.72533,                0.81537,                 1.6028,                0.67616,                 0.8726,              0.0093367,              0.0093367,              0.0093367
                     70,                0.51588,                0.78039,                 0.3518,                0.84051,                0.99162,                0.80504,                0.90152,                0.73372,                0.99162,                0.80504,                0.90152,                0.69863,                0.82431,                 1.6555,                0.66608,                 0.8755,              0.0093268,              0.0093268,              0.0093268
                     71,                0.50061,                0.75809,                 0.3431,                0.83219,                0.99841,                0.86395,                0.92273,                 0.7564,                0.99841,                0.86395,                0.92273,                0.70576,                0.77033,                 1.5481,                0.58072,                0.86316,              0.0093169,              0.0093169,              0.0093169
                     72,                0.51558,                0.74769,                0.35076,                0.83536,                0.98961,                0.80952,                0.88589,                0.70448,                0.98961,                0.80952,                0.88589,                0.68407,                0.85062,                 1.5437,                0.74092,                0.88434,               0.009307,               0.009307,               0.009307
                     73,                0.50162,                0.74677,                0.34462,                0.84406,                0.94254,                0.86395,                0.91939,                0.76128,                0.94254,                0.86395,                0.91939,                0.70304,                0.76137,                 1.5507,                0.62356,                0.86245,              0.0092971,              0.0092971,              0.0092971
                     74,                0.51362,                0.76078,                0.34143,                0.83936,                 0.9772,                 0.8748,                0.93166,                0.75373,                 0.9772,                 0.8748,                0.93166,                 0.7168,                 0.8336,                 1.6277,                0.56734,                0.87713,              0.0092872,              0.0092872,              0.0092872
                     75,                0.50267,                0.74062,                0.34251,                0.83387,                      1,                0.80117,                0.89652,                0.74264,                      1,                0.80117,                0.89652,                0.69904,                0.76325,                  1.676,                0.60285,                 0.8567,              0.0092773,              0.0092773,              0.0092773
                     76,                0.50967,                0.75699,                0.34511,                0.83593,                0.99798,                0.84354,                0.92324,                0.75669,                0.99798,                0.84354,                0.92324,                0.72768,                0.76402,                 1.5246,                0.59999,                 0.8584,              0.0092674,              0.0092674,              0.0092674
                     77,                0.49656,                0.72282,                0.34016,                0.83061,                0.99146,                0.87755,                0.91181,                0.74049,                0.99146,                0.87755,                0.91181,                0.72246,                0.77493,                 1.5425,                0.57568,                0.85852,              0.0092575,              0.0092575,              0.0092575
                     78,                0.49163,                0.73107,                0.34406,                0.83248,                0.99376,                0.82993,                0.92662,                0.76818,                0.99376,                0.82993,                0.92662,                0.73773,                0.76686,                 1.6958,                0.60794,                0.86098,              0.0092476,              0.0092476,              0.0092476
                     79,                0.49305,                0.70797,                0.33612,                0.83782,                0.90768,                0.87755,                0.91696,                0.75738,                0.90768,                0.87755,                0.91696,                0.70855,                0.78344,                 1.6458,                0.55786,                0.86711,              0.0092377,              0.0092377,              0.0092377
                     80,                0.49111,                0.71283,                0.34063,                0.83057,                0.96744,                0.87075,                0.91994,                0.73792,                0.96744,                0.87075,                0.91994,                0.71691,                0.81257,                 1.5378,                0.58433,                 0.8779,              0.0092278,              0.0092278,              0.0092278
                     81,                0.48201,                0.72952,                0.33218,                0.83797,                0.97689,                0.86272,                0.94443,                0.77259,                0.97689,                0.86272,                0.94443,                0.74546,                0.78473,                 1.5019,                0.56803,                 0.8764,              0.0092179,              0.0092179,              0.0092179
                     82,                0.48323,                0.70028,                0.33167,                0.83233,                      1,                0.86297,                 0.9243,                 0.7493,                      1,                0.86297,                 0.9243,                0.72633,                0.79709,                   1.63,                0.64047,                 0.8748,               0.009208,               0.009208,               0.009208
                     83,                0.48801,                0.74422,                0.33429,                0.83886,                0.98861,                0.87075,                0.91891,                 0.7629,                0.98861,                0.87075,                0.91891,                0.73332,                0.77642,                 1.5462,                0.58833,                 0.8841,              0.0091981,              0.0091981,              0.0091981
                     84,                 0.4904,                0.74066,                0.33922,                 0.8367,                      1,                0.82845,                 0.8991,                0.73421,                      1,                0.82845,                 0.8991,                0.70777,                0.78747,                 1.7366,                0.64077,                0.87787,              0.0091882,              0.0091882,              0.0091882
                     85,                0.48534,                0.71476,                0.33884,                0.83388,                      1,                0.86278,                0.92036,                0.75185,                      1,                0.86278,                0.92036,                0.71846,                0.80953,                 1.5908,                0.55012,                0.87959,              0.0091783,              0.0091783,              0.0091783
                     86,                0.47946,                0.73045,                0.33889,                0.83549,                0.98778,                0.87075,                0.93604,                0.77712,                0.98778,                0.87075,                0.93604,                0.74563,                0.77554,                 1.5887,                0.60195,                0.87201,              0.0091684,              0.0091684,              0.0091684
                     87,                0.48022,                0.73028,                0.33394,                0.82941,                0.96914,                0.85449,                0.90478,                0.74773,                0.96914,                0.85449,                0.90478,                0.72508,                0.77175,                 1.6152,                0.62456,                0.86204,              0.0091585,              0.0091585,              0.0091585
                     88,                0.48563,                0.69824,                0.32467,                0.83108,                0.98921,                0.84354,                0.92191,                0.76934,                0.98921,                0.84354,                0.92191,                 0.7309,                0.76561,                 1.6645,                0.58233,                0.86006,              0.0091486,              0.0091486,              0.0091486
                     89,                0.47838,                0.70359,                0.33156,                0.82637,                 0.9721,                0.89796,                0.94676,                 0.7845,                 0.9721,                0.89796,                0.94676,                0.74474,                0.75325,                 1.5855,                0.55131,                0.86334,              0.0091387,              0.0091387,              0.0091387
                     90,                0.46654,                0.69141,                0.32146,                0.82539,                0.97723,                0.87599,                0.92105,                 0.7435,                0.97723,                0.87599,                0.92105,                 0.7039,                0.78718,                 1.5613,                0.56846,                0.88989,              0.0091288,              0.0091288,              0.0091288
                     91,                0.48375,                0.67751,                0.33377,                0.83003,                0.98455,                0.86679,                0.91575,                0.74932,                0.98455,                0.86679,                0.91575,                 0.7104,                0.75298,                 1.6115,                 0.5593,                0.87251,              0.0091189,              0.0091189,              0.0091189
                     92,                0.47112,                0.70365,                0.32951,                0.83538,                0.96636,                0.85034,                 0.9148,                0.75895,                0.96636,                0.85034,                 0.9148,                0.71447,                0.77341,                 1.8525,                0.67851,                0.86703,               0.009109,               0.009109,               0.009109
                     93,                0.47661,                0.70503,                 0.3315,                0.82923,                0.98705,                0.87075,                0.92488,                0.76617,                0.98705,                0.87075,                0.92488,                0.73411,                0.77819,                 1.6381,                0.58727,                0.86355,              0.0090991,              0.0090991,              0.0090991
                     94,                0.46845,                0.69565,                0.32669,                0.83004,                0.99575,                0.87755,                0.93991,                0.75458,                0.99575,                0.87755,                0.93991,                0.73008,                0.80998,                 1.5227,                0.57405,                0.89643,              0.0090892,              0.0090892,              0.0090892
